source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,p_value_mean,p_value_ci_lower,p_value_ci_upper,t_stat_mean,t_stat_ci_lower,t_stat_ci_upper,significant_ttest (mean_p<0.05),opt_threshold_mean,opt_threshold_ci_lower,opt_threshold_ci_upper,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,roc_positive_class_for_metrics,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,n_arvc_initial,n_healthy_initial,plot_nominal_tdist_path,plot_nominal_boxplot_path,plot_nominal_roc_path,plot_nominal_cm_path,plot_mc_pvalue_dist_path,plot_mc_threshold_dist_path,plot_mc_f1_dist_path
F0_yz,T,Area,t_Area,not_equal,True,500,0.0023653880231712986,0.0007617567120676675,0.004726628836316062,-4.334170065882807,-5.054454580856988,-3.713448827446059,True,26.60746353051456,16.99556258645084,40.44450488801928,0.9101100970017637,0.8771296296296297,0.9382716049382716,Healthy,0.8910333333333336,0.8,0.9,1.0,1.0,1.0,0.9421952872377022,0.8888888888888888,0.9473684210526315,9,10,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Area_tdist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Area_boxplot.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Area_roc.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Area_cm.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Area_p_value_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Area_threshold_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Area_f1_score_mc_dist.pdf
F0_yz,T,T-Dist,t_T-Dist,not_equal,True,500,0.05090368626324115,0.009840889654079324,0.15060925577732465,-2.3031034971956235,-3.1189981412064642,-1.548012581666269,False,13.04575715618158,8.213353008961173,18.892183734863856,0.7650725308641976,0.6666666666666666,0.875,Healthy,0.6459833333333334,0.4444444444444444,1.0,0.8686111111111111,0.5555555555555556,1.0,0.7209387683621026,0.6153846153846154,0.8571428571428571,9,10,Results/F0_yz/Generated_Plots_MC/F0_yz_T_T-Dist_tdist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_T-Dist_boxplot.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_T-Dist_roc.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_T-Dist_cm.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_T-Dist_p_value_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_T-Dist_threshold_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_T-Dist_f1_score_mc_dist.pdf
F0_yz,T,Compact,t_Compact,not_equal,False,500,0.12397453456649624,0.031180462186879157,0.29340091431272636,-1.7038963414242398,-2.371477583694589,-1.0857585330789032,False,0.5268969661257178,0.27390100512750426,0.8185887379498205,0.7100666666666666,0.6222222222222221,0.7888888888888889,Healthy,0.6456000000000001,0.4,0.8,0.8068888888888889,0.5555555555555556,1.0,0.702511885636835,0.5333333333333333,0.8,9,10,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Compact_tdist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Compact_boxplot.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Compact_roc.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Compact_cm.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Compact_p_value_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Compact_threshold_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Compact_f1_score_mc_dist.pdf
F0_yz,T,Angle,t_Angle,not_equal,False,500,0.7824874804707258,0.5284800740144061,0.9863949958333537,-0.23663708884546417,-0.6436010892566877,0.2599372333643988,False,-115.86716690877705,-161.23805233064405,159.11686403605933,0.5664888888888888,0.4444444444444445,0.6444444444444445,Healthy,0.8714666666666668,0.3333333333333333,1.0,0.5008888888888889,0.3333333333333333,1.0,0.7339250398933264,0.46153846153846156,0.8,9,10,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Angle_tdist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Angle_boxplot.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Angle_roc.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Angle_cm.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Angle_p_value_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Angle_threshold_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_T_Angle_f1_score_mc_dist.pdf
F0_yz,QRS,Area,qrs_Area,not_equal,True,500,0.21117835909890864,0.05149269655755295,0.8338198639293949,-1.4799310194331907,-2.2197863082319613,-0.2090417723602708,False,96.12361399901476,15.605341062396905,457.9717395522815,0.6772293761022928,0.5555555555555556,0.8253968253968254,Healthy,0.6938277777777778,0.25,1.0,0.6973015873015873,0.3333333333333333,1.0,0.6821449431918943,0.4,0.8181818181818182,9,10,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Area_tdist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Area_boxplot.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Area_roc.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Area_cm.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Area_p_value_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Area_threshold_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Area_f1_score_mc_dist.pdf
F0_yz,QRS,T-Dist,qrs_T-Dist,not_equal,True,500,0.5335695105097141,0.012640758198857571,0.9750081993210493,-0.6544763342617952,-2.912011567694619,0.7374404925963851,False,23.197868793151756,12.782608370142546,55.89105428602706,0.6285269620811288,0.41975308641975306,0.8537499999999999,Healthy,0.7830166666666667,0.2222222222222222,1.0,0.6469293650793649,0.3333333333333333,1.0,0.7226092715075714,0.36363636363636365,0.8695652173913043,9,10,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_T-Dist_tdist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_T-Dist_boxplot.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_T-Dist_roc.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_T-Dist_cm.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_T-Dist_p_value_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_T-Dist_threshold_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_T-Dist_f1_score_mc_dist.pdf
F0_yz,QRS,Compact,qrs_Compact,not_equal,True,500,0.3799282604326879,0.02231055265626618,0.9544681985473797,-1.0446931430879516,-2.6975813194823783,0.582331918145765,False,0.37809487089534016,0.17372730956272883,0.7900467343025142,0.6306697641093474,0.4766203703703704,0.8076388888888888,Healthy,0.669834126984127,0.2222222222222222,1.0,0.7169444444444444,0.3333333333333333,1.0,0.6644454127639011,0.36363636363636365,0.8379385964912278,9,10,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Compact_tdist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Compact_boxplot.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Compact_roc.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Compact_cm.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Compact_p_value_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Compact_threshold_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Compact_f1_score_mc_dist.pdf
F0_yz,QRS,Angle,qrs_Angle,not_equal,False,500,0.7363696732258557,0.3796705194467255,0.9924693513178224,-0.10227431247930205,-0.8889099464919282,0.6937982888677702,False,-39.155148847411866,-170.76042062803697,155.72141045018634,0.5506666666666667,0.47777777777777775,0.6444444444444445,Healthy,0.6599333333333334,0.2222222222222222,1.0,0.5880222222222221,0.2222222222222222,1.0,0.6135343197801684,0.36363636363636365,0.7692307692307693,9,10,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Angle_tdist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Angle_boxplot.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Angle_roc.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Angle_cm.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Angle_p_value_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Angle_threshold_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_QRS_Angle_f1_score_mc_dist.pdf
F0_yz,ST,Area,st_Area,not_equal,True,500,0.4041889089826528,0.01736731867177739,0.9720939221824806,-0.7021573895386186,-2.846923864274464,1.5310102640671897,False,16.66553334857774,-2.96553476232964,57.280006866702124,0.6347379755605945,0.4444444444444444,0.8775510204081632,Healthy,0.6247984126984126,0.2222222222222222,1.0,0.7908642857142857,0.2669642857142861,1.0,0.6613099509851361,0.36363636363636365,0.8888888888888888,9,10,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_Area_tdist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_Area_boxplot.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_Area_roc.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_Area_cm.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_Area_p_value_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_Area_threshold_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_Area_f1_score_mc_dist.pdf
F0_yz,ST,T-Dist,st_T-Dist,not_equal,True,500,0.3906404949886431,0.009624610170321556,0.9559215651754938,-0.5140994667548865,-3.024861847526255,1.7776294502343502,False,3.680705165881497,-0.6389386829064746,10.853424574889225,0.6393127872260016,0.4654166666666667,0.9078819444444441,Healthy,0.6378007936507936,0.25,1.0,0.7893626984126983,0.3,1.0,0.6688660777083553,0.4,0.8888888888888888,9,10,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_T-Dist_tdist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_T-Dist_boxplot.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_T-Dist_roc.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_T-Dist_cm.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_T-Dist_p_value_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_T-Dist_threshold_mc_dist.pdf,Results/F0_yz/Generated_Plots_MC/F0_yz_ST_T-Dist_f1_score_mc_dist.pdf
