source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,significant_ttest (mean_p<0.05),roc_positive_class_for_metrics,n_ACM_initial,n_healthy_initial,p_value_mean,p_value_ci_lower,p_value_ci_upper,t_stat_mean,t_stat_ci_lower,t_stat_ci_upper,threshold_mean,threshold_ci_lower,threshold_ci_upper,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,auc_mean,auc_ci_lower,auc_ci_upper
F0_yz,T,Area,t_Area,not_equal,True,5000,True,Healthy,9,9,0.0016211139992094886,7.042300301928331e-05,0.004112915444581794,4.764467771099292,3.8799019675920925,7.547881278333871,34.81260189325755,27.725818256782933,42.04004823812212,0.891932142857143,0.7777777777777778,1.0,0.9992222222222222,1.0,1.0,0.9421742860734037,0.875,1.0,0.943792581569665,0.9218439980158731,1.0
F0_yz,T,T-Dist,t_T-Dist,not_equal,True,5000,False,Healthy,9,9,0.07195893087551875,0.012742716246507604,0.21556971644356646,2.193830992106124,1.341368869854309,3.1142971199196503,11.605362138564535,7.843380295354287,16.86884448172365,0.7005337301587301,0.4444444444444444,1.0,0.8779988888888889,0.5555555555555556,1.0,0.7569131067092523,0.6153846153846154,0.9333333333333333,0.7869709763164525,0.6527777777777778,0.9375
F0_yz,T,Compact,t_Compact,not_equal,False,5000,False,Healthy,9,9,0.10976851716900096,0.020630719592209815,0.32530127230896594,1.8256148717314944,1.015300221435673,2.626912640368276,0.4497980911080096,0.19336497676839157,0.7506679477593431,0.6716,0.4444444444444444,0.8888888888888888,0.7962666666666667,0.5555555555555556,1.0,0.7124082788384646,0.6153846153846154,0.8,0.7367358024691358,0.654320987654321,0.8148148148148149
F0_yz,T,Angle,t_Angle,not_equal,False,5000,False,ACM,9,9,0.7023654400943548,0.3088653613275091,0.98719153938476,-0.2740946002392735,-1.0530704990784256,0.5430343995157069,-17.802922858949152,-157.96381577533904,157.83739804858214,0.5713111111111111,0.2222222222222222,1.0,0.7474444444444445,0.3333333333333333,1.0,0.5971701226668965,0.36363636363636365,0.8181818181818182,0.532716049382716,0.4320987654320988,0.6419753086419753
F0_yz,QRS,Area,qrs_Area,not_equal,True,5000,False,Healthy,9,9,0.19287163328980414,0.06955772703717372,0.4923493964855851,1.514785069052427,0.7178462744692813,2.10782684002359,94.47670242888405,26.826098484313142,167.27877939012416,0.5521035714285714,0.3333333333333333,0.8888888888888888,0.8929738095238096,0.4444444444444444,1.0,0.6506595835141811,0.5,0.8235294117647058,0.679128676776266,0.5510204081632653,0.8164044784580488
F0_yz,QRS,T-Dist,qrs_T-Dist,not_equal,True,5000,False,Healthy,9,9,0.272861826847708,0.013943838406932696,0.9128323147156305,1.378891621945993,-0.29096419778759086,2.9817071846340046,22.432760972018162,11.84179111134337,47.75664949704123,0.7511714285714285,0.3333333333333333,1.0,0.6999150793650794,0.3333333333333333,1.0,0.7150729300650442,0.46153846153846156,0.875,0.6851218920068027,0.47619047619047616,0.875
F0_yz,QRS,Compact,qrs_Compact,not_equal,True,5000,False,Healthy,9,9,0.5047923008355598,0.039415441834965356,0.9761092449665727,0.5590464235739097,-1.1254207907808371,2.350243325329587,0.39678888748071883,0.12071643591746722,0.8341177087965754,0.6219869047619048,0.2222222222222222,1.0,0.7383045238095237,0.25,1.0,0.6312415676000612,0.36363636363636365,0.8235294117647058,0.6009103059649786,0.4444444444444445,0.8055555555555556
F0_yz,QRS,Angle,qrs_Angle,not_equal,False,5000,False,ACM,9,9,0.790711746022985,0.4654806293859868,0.9917649050108366,-0.09577485184768643,-0.72470111582902,0.5168324075477654,7.1545377029295025,-170.02886448617073,198.49601008441996,0.5948444444444444,0.2222222222222222,1.0,0.6724666666666667,0.2222222222222222,1.0,0.5866190466474492,0.36363636363636365,0.75,0.5431358024691358,0.4691358024691358,0.6419753086419753
F0_yz,ST,Area,st_Area,not_equal,True,5000,False,Healthy,9,9,0.3593503804648074,0.019645362792531807,0.9542709053196073,0.9529533089551678,-1.4191717176862462,2.8513828886420183,16.21676451942079,0.39325554358282044,45.96520255435713,0.5806990476190477,0.2222222222222222,1.0,0.8292576984126985,0.3333333333333333,1.0,0.639855094692956,0.36363636363636365,0.8571428571428571,0.6473119205089443,0.4583333333333333,0.875
F0_yz,ST,T-Dist,st_T-Dist,not_equal,True,5000,False,Healthy,9,9,0.3094924330708891,0.004604950507126113,0.9430658810242544,1.254408035629075,-1.2749550835214067,3.5947217655682464,2.7352989144906834,-0.28196137311141467,7.941489792845208,0.6700268253968253,0.25,1.0,0.8143956349206349,0.3333333333333333,1.0,0.7025050631997787,0.4,0.9333333333333333,0.6853373768581507,0.46875,0.9375
